Peak,Centre,FWHM,Eta,Amp,PeakHeight_norm,PeakHeight
trion,1.810028804209405,0.08253033177136826,0.9618105386284458,0.07067367658566062,0.5550631940379099,620.4672047137637
exciton,1.8343291731486608,0.05142857948056641,0.35639125546881856,0.03262132983966053,0.5274313914066576,589.5795012523006
