# RamanPL_2D export
# schema_version: "0.3.8"
# export_kind: "mapping_fit"
# map_kind: "fit_params"
# spectrum_type: "Raman"
# x_quantity: "Raman shift"
# x_unit: "cm^-1"
# coord_mode: "real"
# step_size: 0.5
# step_unit: "um"
# scaled: true
# peak_labels: ["E2g", "A1g", "2LA(M)", "2LA(M)-E22g"]
# peak_profile: "pvoigt"
# params_per_peak: 4
# baseline_spec: {"method": "poly", "poly_order": 3}
# preprocessing_recipe: {"name": "legacy_mapping", "backend": "native", "steps": [{"name": "crop", "data_range": [300, 450]}]}
# preprocessing_backend_requested: "native"
# preprocessing_backend_resolved: "native"
# background_remove: false
# smoothing: false
# smooth_window: 11
# smooth_poly: 3
# 
x	y	E2g_centre	E2g_fwhm	E2g_peak_height	E2g_peak_height_norm	E2g_amp	E2g_scale	E2g_eta	A1g_centre	A1g_fwhm	A1g_peak_height	A1g_peak_height_norm	A1g_amp	A1g_scale	A1g_eta	2LA(M)_centre	2LA(M)_fwhm	2LA(M)_peak_height	2LA(M)_peak_height_norm	2LA(M)_amp	2LA(M)_scale	2LA(M)_eta	2LA(M)-E22g_centre	2LA(M)-E22g_fwhm	2LA(M)-E22g_peak_height	2LA(M)-E22g_peak_height_norm	2LA(M)-E22g_amp	2LA(M)-E22g_scale	2LA(M)-E22g_eta
0.0	0.0	358.24540324405774	9.999999999999998	9.689294090964218	0.8072648745259998	12.709591892050021	9.999999999999998	0.9999999999999999	423.99999999999994	9.999999999999998	9.600420328413174	0.7998603447325108	12.62629229113895	9.999999999999998	0.9999999999999999	340.00000000000006	9.999999999999998	6.290045237741771	0.5240559871480968	8.468442582261856	9.999999999999998	0.9999999999999999	317.0000000000021	9.999999999999998	13.000411854513764	1.0831311080037618	17.20444364511771	9.999999999999998	0.9999999999999999
0.5	0.0	359.99999999999994	9.999999999999998	8.493097166320206	0.5366990902746387	8.434629059283953	9.999999999999998	0.9999999999999999	420.0279734676988	9.999999999999998	10.089006854046934	0.6375484342524754	10.019965015094963	9.999999999999998	0.9999999999999999	340.00000000000006	9.999999999999998	11.005328807034157	0.6954530065111253	11.238119587853342	9.999999999999998	0.9999999999999999	321.9148582052169	9.999999999999998	8.38857838626292	0.5300942989865077	8.344571106371141	9.999999999999998	0.9999999999999999
1.0	0.0	350.64788757398225	9.999999999999998	7.897727671816146	0.6589219804657354	10.363319922482358	9.999999999999998	0.9999999999999999	423.99999999999994	9.999999999999998	7.1459565359865485	0.5962003285853404	9.41139245415278	9.999999999999998	0.9999999999999999	340.00000000000006	9.999999999999998	5.285005850892254	0.44093778194837596	7.125300312091438	9.999999999999998	0.9999999999999999	317.58636733866535	9.999999999999998	9.195599245305267	0.7672057986892336	12.342203354029534	9.999999999999998	0.9999999999999999
1.5	0.0	359.99999999999903	9.999999999999998	9.329244163063914	0.6386246781654352	10.036466180096554	9.999999999999998	0.9999999999999999	420.1399066666296	9.999999999999998	7.152377854511771	0.4896093322907571	7.706728854025023	9.999999999999998	0.9999999999999999	343.0254070782798	9.999999999999998	9.63929629805153	0.6598490068956142	10.368839184587376	9.999999999999998	0.9999999999999999	317.00000000000006	9.999999999999998	8.699166494652708	0.5954933010490083	9.458809615231104	9.999999999999998	0.9999999999999999
2.0	0.0	356.85553912310985	9.999999999999998	10.197770707300544	0.7030052259694779	11.279778161208558	9.999999999999998	0.9999999999999999	418.00000000000006	9.999999999999998	8.804521089374086	0.6069585712058946	9.53478705790185	9.999999999999998	0.9999999999999999	340.00000000000006	9.999999999999998	3.6212271151965356	0.24963706867649563	4.033991089378857	9.999999999999998	0.9999999999999999	321.74640081208963	9.999999999999998	11.000446643544295	0.7583394155816577	11.98823613386112	9.999999999999998	0.9999999999999999
2.5	0.0	359.99999999999994	9.999999999999998	4.8787774242542294	0.36996190987757605	5.814229113533211	9.999999999999998	0.9999999999999999	423.1501424243312	9.999999999999998	11.900633946818596	0.9024353605128714	14.316210636926249	9.999999999999998	0.9999999999999999	344.1922377663495	9.999999999999998	7.509296192173605	0.5694364221826793	9.08233626746462	9.999999999999998	0.9999999999999999	317.00000000000006	9.999999999999998	8.257732643478619	0.6261910053227627	9.946411641716724	9.999999999999998	0.9999999999999999
3.0	0.0	355.4645096053744	9.999999999999998	4.4439875345368955	0.3362800348684304	5.373905275811028	9.999999999999998	0.9999999999999999	418.00285752918006	9.999999999999998	10.14620030423665	0.7677709637064358	12.060894241899918	9.999999999999998	0.9999999999999999	343.12995540204764	9.999999999999998	5.82067369330176	0.440454960174691	6.929967405476735	9.999999999999998	0.9999999999999999	324.99999999999994	9.999999999999998	11.436923398087824	0.8654409962239759	14.064308299394654	9.999999999999998	0.9999999999999999
3.5	0.0	359.99999999999994	9.999999999999998	6.512384904928857	0.44663454970479893	7.019197200227332	9.999999999999998	0.9999999999999999	423.99999999999994	9.999999999999998	8.044670176169607	0.551722248317629	8.709278334222665	9.999999999999998	0.9999999999999999	343.6045848175393	9.999999999999998	9.519201183832584	0.6528490247977596	10.442850689962947	9.999999999999998	0.9999999999999999	317.0000000000001	9.999999999999998	7.013995298690038	0.4810361607298492	7.640773547527954	9.999999999999998	0.9999999999999999
4.0	0.0	359.99999999999994	9.999999999999998	7.581568512466679	0.4765199118348645	7.488868098570918	9.999999999999998	0.9999999999999999	418.00000000000006	9.999999999999998	10.911041771975171	0.6857853562437201	10.773086746629223	9.999999999999998	0.9999999999999999	346.9154146582866	4.865085382851031	14.158680737247062	0.8899073173996614	6.85444270422017	4.865085382851031	0.9999999999999999	322.35562165124463	9.999999999999998	9.831554822714121	0.6179369914834573	9.72351349065793	9.999999999999998	0.9999999999999999
4.5	0.0	358.6150730977733	9.999999999999998	8.966939173991817	0.5635938074810021	8.984338080516643	9.999999999999998	0.9999999999999999	423.99999999999994	9.999999999999998	10.053435555587576	0.6318827320110086	9.974661352617165	9.999999999999998	0.9999999999999999	340.00000000000006	9.999999999999998	10.796555000957083	0.6785895858774574	10.965616433841308	9.999999999999998	0.9999999999999999	318.7382014651211	9.999999999999998	9.55759478982558	0.6007179410318707	9.489110580248921	9.999999999999998	0.9999999999999999
