x,y,WS2_E12g_position,WS2_E12g_fwhm,WS2_E12g_peak_height,WS2_E12g_peak_height_norm,WS2_A1g_position,WS2_A1g_fwhm,WS2_A1g_peak_height,WS2_A1g_peak_height_norm,WS2_2LA(M)_position,WS2_2LA(M)_fwhm,WS2_2LA(M)_peak_height,WS2_2LA(M)_peak_height_norm,MoS2_E12g_position,MoS2_E12g_fwhm,MoS2_E12g_peak_height,MoS2_E12g_peak_height_norm,MoS2_A1g_position,MoS2_A1g_fwhm,MoS2_A1g_peak_height,MoS2_A1g_peak_height_norm,WS2_A1g_WS2_E12g_separation,WS2_A1g_WS2_E12g_ratio,WS2_2LA(M)_WS2_E12g_ratio,rmse,ok,n_starts,n_params_at_bounds
0,0,355.99999999999994,4.678545098046741,4.234300946928105,0.7282351234658616,421.99999999999994,19.999999999999996,2.675222947332978,0.46009750789279835,340.00000000000006,19.999999999999996,0.8010734715639505,0.1377724081923894,389.23417320408083,4.44894276751798,2.606225220164784,0.4482309521158297,397.4869635398628,0.0484262108966019,2212.8485100784765,380.5761631367598,66.0,0.6317980183420348,0.18918671147952112,0.274843415844614,True,5,5
1,0,355.99999999999994,12.80473452079888,7.084645476510216,0.5994470254284835,421.99999999999994,4.58452800082546,6.170478564942307,0.5220974053661314,349.9998516560306,19.99999645245636,1.7653919820149908e-26,1.4937359615847179e-27,384.41878966088495,1.118269378705606,6.149605925420879,0.520331326637782,409.99999999999994,0.028947120160934744,2692.907088017597,227.85263553689973,66.0,0.8709650448143225,2.4918564914339155e-27,0.1380944403732038,True,5,6
2,0,355.99999999999994,5.633882839030235,17.05440064152936,0.9116601649258755,418.15515286175844,3.134156977331667,10.74042648403511,0.5741403163689032,349.99999999999994,6.0985406330722745,14.952009188248129,0.7992747120844652,389.99999999999983,0.012111055014122322,1928.199989876862,103.07387270477392,409.99999999999994,39.99999999999999,0.9756081527070923,0.052152116517899354,62.155152861758495,0.6297744910413902,0.876724401081462,0.09691198934049171,True,5,5
3,0,355.293064319009,6.343997799957508,34.21022704721557,0.7949810863827085,420.7535786767423,3.724265736594215,15.6403947215781,0.3634532436763394,349.99999999999994,7.145310852323411,31.53070598453308,0.7327140759224534,381.39309756349326,3.093106482511696e-06,631066.3870913233,14664.791358942593,409.99999999999994,2.2096870076596913,4.289155348838482,0.09967187222048415,65.4605143577333,0.4571847681686491,0.9216748529910567,0.04797278884652589,True,5,2
4,0,353.77746915261304,4.398764665909816,56.45323048848558,0.7848936066345914,420.28726209984774,9.798477920415179,12.960755322075414,0.1801989700399366,348.8011605836151,9.03082788504694,52.89937420278728,0.7354828102389505,384.28812501978615,4.247131376471288e-05,253266.00228310924,3521.2664403759786,409.925,2.2285883759669633e-05,4.682383349984823e-05,6.510119480168545e-07,66.5097929472347,0.22958394426549142,0.9370477782237252,0.03805132630693131,True,5,0
5,0,353.48763329314204,6.3261420880556445,54.93531502634523,0.5570671477084385,419.2251624968698,8.283971145177548,21.57520038803182,0.2187815858639389,349.3832545412419,10.025071366282962,67.42146505427583,0.6836819487445888,389.9999781762481,39.9998259892929,4.072333096336285e-12,4.129516653188932e-14,409.9999685350363,39.99546217683469,6.172390745288752e-15,6.259063237138083e-17,65.73752920372777,0.39273826640813914,1.2272882211004459,0.03692955353570003,True,5,3
6,0,353.98082086559907,4.8485212923899494,72.79331930317677,0.5421155983316888,418.6648411593962,6.142021595808868,20.50193323544632,0.15268458574611632,349.294976135114,10.325835808434611,113.8667900183969,0.8480031353404445,389.99956541785866,39.994428407837084,3.676551352356258e-14,2.7380477429235884e-16,409.9998864491759,39.9955087315918,1.383559721138624e-13,1.0303820642232436e-15,64.68402029379712,0.28164580804534894,1.5642478060954097,0.04607804955611918,True,5,3
7,0,353.8649699231793,2.02693879186915,176.867148691953,1.1073136107913721,418.52833631694676,4.0995133368502295,42.139203986013825,0.26382126057166505,348.8536131860467,9.613765077744937,148.72101390983948,0.9310988735385816,389.8982896730383,39.780399213511735,5.875148604984226e-30,3.678259113597033e-32,407.8545244199215,2.435559809248787,5.374419448088106,0.03364767198986669,64.66336639376749,0.23825342522712956,0.840862845416617,0.04300928718013729,True,5,1
8,0,353.714675986042,0.07595770597849145,79587.66796570514,586.6867429169391,418.3367524594472,7.140898855111384,26.032485555438306,0.19190051110849943,348.1801719957442,8.902516005848378,135.14195979652214,0.9962095667710527,382.5795784143313,2.3936524313954025e-36,1.0973582371916254e+38,8.08926240015537e+35,406.6011042112482,1.9999999999996439e-10,43.180695384118394,0.3183098861837907,64.62207647340523,0.0003270919505601782,0.001698026380855332,0.03227319586499048,True,5,2
9,0,353.67936480738626,2.201633539380497,144.03010129086343,1.180640935668873,417.9523390125324,8.360379006956336,19.730188714829893,0.1617319453116144,348.10801519979447,11.355717507164972,102.75952204735597,0.8423384915481735,387.2016694303293,1.3302089530013256e-06,2893945.977165339,23722.201509500683,403.6064494437734,1.4196304652841182e-12,92415719806662.22,757548463308.4229,64.27297420514611,0.13698656418345156,0.7134586529230924,0.04793523662194745,True,5,1
10,0,353.38561547493543,3.7792007560291108,71.69019628904014,0.6631716970286837,417.5577689962828,4.501957276797294,26.151163050993436,0.24191189419929718,348.5093802810093,10.604145554484576,82.49591701953857,0.7631302482031097,388.427348666258,34.56030936638017,1.1038599352508285e-11,1.0211279985770928e-13,409.75800279221494,27.882356235756134,3.670019509397451e-12,3.3949594116923455e-14,64.17215352134735,0.36478018480459057,1.150728011497304,0.02848028845635569,True,1,0
11,0,353.55575241734726,2.9221671134218825,77.57937168206004,0.8607763868619248,419.19746151681096,4.133525477744299,18.399143360612037,0.20414638324487205,348.44578279810935,9.7456576096546,74.63783905665143,0.8281388213565933,370.0016492058854,39.99999996139595,2.2127529638581096e-33,2.455144273472185e-35,395.9103855600219,0.02781832556128934,2.527061822806905,0.028038834268046195,65.6417090994637,0.23716540829972685,0.9620835724544953,0.02910948840045696,True,5,2
12,0,353.78910134813884,3.3666868271826647,66.93960948389498,0.8791433445140046,417.6058995731087,6.215968672061638,15.525660362263663,0.20390440102511911,348.08151283703035,9.1563964793706,71.69521435715774,0.9416005115889514,371.21836015715513,2.2934094646855665,8.23206011628842e-40,1.0811477567127633e-41,409.99999999999994,4.2196885619525615,5.141461496980343,0.06752476883261123,63.81679822496983,0.23193532920144963,1.0710432120821813,0.03861766801925833,True,5,2
13,0,351.57382079552457,5.93356390722918,35.503479731433565,0.7016409655419061,417.0000000000001,7.311115911838277,7.135760189392118,0.14102115361745185,346.63468974801714,12.206736129725481,32.64312994664232,0.6451130251831013,370.0611120294631,35.03549008202675,1.012406138477812e-30,2.0007774615207901e-32,399.946431352291,3.958570888961175e-13,35376343548459.734,699128424381.1,65.42617920447555,0.20098762834997158,0.9194346636885062,0.06689986049503327,True,5,3
14,0,351.14630581043264,5.8473350442029535,31.889376620403535,0.8732966194570027,417.00000000000006,7.7358280358261835,5.337440337143497,0.146166814687702,346.3167634374198,7.3679864121889915,21.99513210285047,0.6023408591072811,385.8140335074938,0.09719394687754766,1740.5403360458695,47.665026807857956,404.6092208681359,0.02068549778339578,3.4315250882333417,0.09397296456459074,65.85369418956742,0.1673736178877979,0.6897322692967756,0.04015871672785232,True,5,1
