x,y,exciton_centre,exciton_fwhm,exciton_peak_height,exciton_peak_height_norm,exciton_amp,exciton_scale,exciton_eta,trion_centre,trion_fwhm,trion_peak_height,trion_peak_height_norm,trion_amp,trion_scale,trion_eta,rmse,ok,n_starts,n_params_at_bounds
0,0,1.9874145137946329,0.049999999999999996,5.502363005324814,0.38141392613002945,0.029814643827916605,0.049999999999999996,0.9899999999999999,1.9000000000000001,0.049999999999999996,4.548093085712353,0.3152656483310276,0.024643686346664754,0.049999999999999996,0.9899999999999999,0.2367244334688542,True,5,5
1,0,1.9838911554025074,0.049999999999999996,6.938378338076405,0.4492687623164714,0.03511844121736735,0.049999999999999996,0.9899999999999999,1.900000000000003,0.049999999999999996,4.5704490499023915,0.2959423496138455,0.023133222662181315,0.049999999999999996,0.9899999999999999,0.21596650750116833,True,5,5
2,0,1.97560959829246,0.049999999999999996,9.742692113337652,0.4795143329930253,0.037482780032526336,0.049999999999999996,0.9899999999999999,1.9000000000000001,0.049999999999999996,4.408324752479357,0.21696825463753858,0.016959975318517964,0.049999999999999996,0.9899999999999999,0.16000696145246573,True,5,5
3,0,1.9753537172427846,0.043776289537696675,23.306873639053034,0.7414694802166218,0.050744974650055494,0.043776289537696675,0.9899999999999999,1.9000000000000001,0.049999999999999996,4.154224490442706,0.13215975344159736,0.010330664088234371,0.049999999999999996,0.9899999999999999,0.11244934016500606,True,5,4
4,0,1.9761046119375127,0.038885712190539164,51.74732383223521,0.7932063761901365,0.042490471636181415,0.038885712190539164,0.7051196789885192,1.9294248572880348,0.049999999999935284,7.523759282357065,0.11532758399319852,0.009014926450139248,0.049999999999935284,0.989999999999976,0.061145780445965935,True,5,2
5,0,1.9756412951882079,0.03858132713516093,88.72003847244396,0.8694197063458645,0.04485404107404602,0.03858132713516093,0.6327051864967546,1.9326131807341835,0.049999999999999996,11.188765412170557,0.10964527638300654,0.008570752721744597,0.049999999999999996,0.9899999999999999,0.04414233062531004,True,5,2
6,0,1.9755751766422331,0.037655439123049646,112.22089903234509,0.849012994169964,0.043132843099180404,0.037655439123049646,0.6546505351382503,1.9385362800497508,0.049999999999999996,16.91392537869538,0.12796317399662363,0.010002642738377164,0.049999999999999996,0.9899999999999999,0.03560074537302775,True,5,2
7,0,1.975599814459683,0.03677648761224217,122.2502137415954,0.8839663377600329,0.04319775632456788,0.03677648761224217,0.6171010505296654,1.9403762523315025,0.049999999999999864,18.204399911158355,0.13163229926616005,0.01028944794126722,0.049999999999999864,0.9899999999999999,0.03249720927581767,True,5,2
8,0,1.9751037717472903,0.03645692578839967,120.07131651267039,0.8596857953524891,0.04258876166870691,0.03645692578839967,0.6720997338867022,1.940076844903579,0.049999999999999996,18.609772963485895,0.13324212589736525,0.010415318321569453,0.049999999999999996,0.9899999999999999,0.034428946946239596,True,5,2
9,0,1.9751922423368118,0.03600302217315382,119.18105929716073,0.8317834874257501,0.03941663912926501,0.03600302217315382,0.593381615409339,1.9417558421460763,0.049999999999999996,20.362917407560115,0.14211602544320037,0.01110896542215792,0.049999999999999996,0.9899999999999999,0.03544049564763862,True,5,2
