# RamanPL_2D export
# schema_version: "0.3.8"
# export_kind: "mapping_fit"
# map_kind: "fit_params"
# spectrum_type: "Raman"
# x_quantity: "Raman shift"
# x_unit: "cm^-1"
# coord_mode: "pixel"
# step_size: 0.5
# step_unit: "um"
# scaled: true
# peak_labels: ["E2g", "A1g", "2LA(M)"]
# peak_profile: "lorentzian"
# params_per_peak: 3
# baseline_spec: {"method": "poly", "poly_order": 3}
# preprocessing_recipe: {"name": "pipeline", "backend": "auto", "steps": [{"name": "crop", "data_range": [330, 440]}, {"name": "savgol", "window_length": 11, "polyorder": 9}, {"name": "baseline", "baseline_spec": {"method": "arpls", "lam": 10000.0, "niter": 250, "tol": 1e-07}, "clip_nonnegative": true}]}
# background_remove: true
# smoothing: false
# smooth_window: 11
# smooth_poly: 3
# preprocessing_backend_requested: "auto"
# preprocessing_backend_resolved: "ramanspy"
# export_format: "wide"
# 
x	y	E2g_centre	E2g_fwhm	E2g_peak_height	E2g_peak_height_norm	E2g_amp	E2g_scale	A1g_centre	A1g_fwhm	A1g_peak_height	A1g_peak_height_norm	A1g_amp	A1g_scale	2LA(M)_centre	2LA(M)_fwhm	2LA(M)_peak_height	2LA(M)_peak_height_norm	2LA(M)_amp	2LA(M)_scale	rmse	ok	n_starts	n_params_at_bounds
0	0	357.4385689606373	19.999999999999986	3.2909036988902254	0.00792839850657991	0.24907798503003714	9.999999999999993	423.9999999968442	19.999999999999996	6.0151387854602065	0.014491587031123392	0.45526663355834357	9.999999999999998	340.00000000001324	19.999999999999996	0.45811511987673875	0.0011036844479822526	0.0346732695366235	9.999999999999998	0.15802945777445773	True	5	5
1	0	356.7214410185545	19.999999998722533	6.677410196675384	0.01625608007542521	0.5106998173786124	9.999999999361266	423.9999999954725	19.999999999977383	5.646447528391378	0.013746213046626652	0.43185001921913624	9.999999999988692	340.00000000000006	19.999999999999996	1.3620684856194872e-10	3.3159404197555164e-13	1.0417334062445383e-11	9.999999999999998	0.16109158255300401	True	5	5
2	0	353.70700185790196	8.215171708890669	17.739159176867688	0.04400286652025412	0.5678288985635851	4.107585854445334	420.10645316706416	19.999999999999996	6.620413726376856	0.016422265486545944	0.5159206860783394	9.999999999999998	349.99999999999903	19.999999999999996	3.8576774132948284	0.009569160668943562	0.30062404858573477	9.999999999999998	0.1621448599703013	True	5	3
3	0	354.5200029740248	7.0153598602007925	34.34218234285442	0.08188782498095017	0.9023793877372814	3.5076799301003962	420.4281776458743	19.999999999999996	8.431084629664191	0.02010364908266153	0.6315747626843664	9.999999999999998	349.99999999999994	9.12897298255857	24.079503509654906	0.05741679865714977	0.8233429535761888	4.564486491279285	0.15958083172654164	True	5	2
4	0	353.8078294490399	4.045435838263201	54.03470570422418	0.1315774842238831	0.8361164596070177	2.0227179191316007	421.5519973957489	19.999999999999996	10.430051244325393	0.025397749190428774	0.7978938227436714	9.999999999999998	349.0198649409505	9.807946260802497	54.07379924939852	0.1316726791593675	2.0285869482314705	4.903973130401249	0.15825039509140248	True	5	1
5	0	353.7479920869818	5.1249836891514535	48.973954230525344	0.11742939064070913	0.9453424756545865	2.5624918445757268	419.66836335095576	19.99999999999999	15.170062117437892	0.03637466441952299	1.142743785171674	9.999999999999995	349.64917373803803	10.912897984623461	75.15789627161344	0.18021305609650212	3.0892014072456737	5.4564489923117305	0.16162772709978313	True	5	1
6	0	351.29636726550905	9.756063414361705	143.01331417099573	0.3450587725098938	5.287952734751978	4.8780317071808525	420.06595486232806	19.999999999999996	10.817581503078898	0.026100376853829734	0.8199675217991655	9.999999999999998	340.00000000057776	19.999999999999996	15.079695001703787	0.0363838924877302	1.1430336934845402	9.999999999999998	0.16071187563038164	True	5	3
7	0	353.73266301250356	2.59472820450504	136.41265915751592	0.34502297263780973	1.4062410204070563	1.29736410225252	418.39988233357707	6.188160371167453	34.05141162861444	0.08612484600166177	0.8371627494671303	3.0940801855837265	348.7077966023114	10.309636374249715	142.95760152063875	0.36157682829764454	5.8554977129281935	5.1548181871248575	0.1642506159731688	True	5	0
8	0	351.7151047940007	7.106363161656712	90.29199912496199	0.20986816001367053	2.3426846382407005	3.553181580828356	418.3852708594425	8.442084016921434	24.77402117170417	0.05758293414513499	0.7635954601067593	4.221042008460717	347.0800198305823	12.598138145654731	87.69689896848125	0.20383629783130763	4.03373874114439	6.299069072827366	0.15757367000382966	True	5	0
9	0	353.75065144829256	1.00000000185928	406.0524525731186	1.0077379966756628	1.5829511464929282	0.50000000092964	418.12794622645515	19.999999999999996	14.049580186888551	0.03486814499444414	1.095415081588494	9.999999999999998	348.5033499277996	12.092317337244712	106.70907023538348	0.2648297873456729	5.030327313003807	6.046158668622356	0.16273919862549405	True	5	2
10	0	351.60365266209004	8.150709826465665	92.67797312255865	0.22968649953921003	2.940700383587511	4.075354913232832	418.6304049017291	19.999999999999996	11.747191324009611	0.029113403797265246	0.9146245549048166	9.999999999999998	345.95927778190196	13.040775712302928	34.40790114022996	0.08527409591640005	1.7467889110316432	6.520387856151464	0.1603495399076786	True	5	1
11	0	351.80449356735255	7.7659203172132765	77.28790349612183	0.19101139584063123	2.3300867239189818	3.8829601586066382	420.33300751202137	19.999999999999996	9.557942376586444	0.02362175492064817	0.7420993172360683	9.999999999999998	346.19935060195866	11.047571688664656	36.70863297445972	0.09072269924108903	1.5743550030305846	5.523785844332328	0.1622049032098693	True	5	1
12	0	353.74181650907525	3.6189837816712407	49.77117798317533	0.12604858730601207	0.7165466939026202	1.8094918908356203	418.00000000000006	19.999999999999996	11.646498215378667	0.029495477233967084	0.9266277459235597	9.999999999999998	348.47503309359985	10.8785303835104	72.0898080386226	0.18257189864989098	3.119780491975118	5.4392651917552	0.1626896576073932	True	5	2
13	0	350.4283750514772	8.121361485027169	44.2823751598976	0.10862386238487175	1.3857151326711006	4.0606807425135845	418.59518342530396	19.999999999999996	6.753651734939371	0.01656658510304489	0.5204546205479592	9.999999999999998	344.56803519852747	19.999998816681195	15.950106551926872	0.039125321820803444	1.2291581632914226	9.999999408340598	0.16127190164644278	True	5	2
14	0	350.6233563157429	7.297878548999643	34.0428940102783	0.08569259266571873	0.9823353922821999	3.6489392744998215	418.00000000000006	19.999999999999996	5.852606880877761	0.014732151071651519	0.462824175782754	9.999999999999998	345.5159340342097	7.940312161744116	15.472942900483964	0.03894840999448441	0.4857884517310183	3.970156080872058	0.16337805570095526	True	5	2
15	0	348.0000003350601	19.999999999999996	3.803145390915157	0.009423149260349088	0.2960369648999278	9.999999999999998	418.00000000000006	19.999999999999996	6.687521453352918	0.016569840581763088	0.5205568944282093	9.999999999999998	348.4274269603905	7.609947109812009	16.75504891460746	0.04151440730190015	0.49624981437152316	3.8049735549060046	0.16101347786586517	True	5	4
16	0	349.53491766825374	19.999999999999996	6.309756720157414	0.014974862221527899	0.47044917143671366	9.999999999999998	423.9999915711642	19.999999999999996	4.498637193252518	0.010676556187718884	0.33541390484976286	9.999999999999998	349.999999853098	5.551173614897704	2.9829495738518195	0.007079394794967937	0.06173064567114814	2.775586807448852	0.16044819988345974	True	5	4
17	0	348.1349644431968	19.999999999999996	4.0810647287743125	0.010247042725687088	0.3219203414803928	9.999999999999998	418.0000000000004	19.999999999999996	5.911180977187964	0.014842235558147045	0.46628258192323946	9.999999999999998	348.5544457223245	1.000001034045561	16.090340276400806	0.040400830479511075	0.06346154173873697	0.5000005170227805	0.16157525725525249	True	5	3
18	0	359.99999999999994	19.999999999999996	0.004007431646394661	1.0019992301629341e-05	0.0003147873420382501	9.999999999999998	423.99999999999994	19.999999999999996	5.666876066344273	0.014169188540032093	0.445138186246935	9.999999999999998	340.60257206657803	19.999999999999996	3.64454497362891	0.00911264765091072	0.28628226914853394	9.999999999999998	0.16123867848071008	True	5	5
0	1	353.29386853177516	19.999999999999996	6.7729361056035495	0.016897552515892072	0.5308522684757425	9.999999999999998	423.99999999999994	19.999999999998945	4.3853879928558275	0.010940945367923335	0.3437199359119341	9.999999999999472	349.9999999999737	1.0015191950851658	3.0662129206275634e-11	7.649783349992792e-14	1.203450661729844e-13	0.5007595975425829	0.16069950035894073	True	5	5
1	1	354.55202813993054	8.151835430175653	21.058794599257105	0.05440555964785065	0.696656289964877	4.075917715087827	423.99999999367634	19.999999999999996	4.909700526745131	0.012684249499747675	0.39848745044707296	9.999999999999998	349.99999999999994	19.999999999999996	3.737413110425597	0.009655635841335952	0.3033407462487932	9.999999999999998	0.16418330818453114	True	5	4
2	1	354.58835744214025	6.970721269386057	51.216987719509625	0.1254736719537426	1.3738844311780312	3.4853606346930284	423.09224411403574	19.999999999999996	10.207583207603818	0.025006994824561615	0.7856179122920073	9.999999999999998	349.1050513504063	12.57078821567239	19.161501083349837	0.04694270413247451	0.9269375811651374	6.285394107836195	0.1585862988264264	True	5	1
3	1	352.55001788471975	8.978343807729129	219.44623806474215	0.5424570325191036	7.650352612775724	4.489171903864564	419.9328050158717	5.5232556738883565	50.338118466630256	0.12443260183821109	1.079566020332089	2.7616278369441782	340.0000000000004	19.999999999999996	28.73244154425159	0.07102475355501439	2.231308439914587	9.999999999999998	0.1621242765679307	True	5	2
4	1	353.759457025312	3.6908042448923646	230.45325945485217	0.5550507587411139	3.217907745582221	1.8454021224461823	419.20167613014263	6.2884508730373625	62.13256260838076	0.1496473779537397	1.4781981732065783	3.1442254365186812	349.3046803161295	11.399663680700117	222.19344622655996	0.5351568522271917	9.582812844665549	5.6998318403500585	0.16114601181307572	True	5	0
5	1	353.8161889580414	4.360706092742157	279.4149292201484	0.6614956369005504	4.531100319782458	2.1803530463710783	419.17430082737224	6.519251080834368	80.49307043226213	0.1905618108534144	1.9514321503897087	3.259625540417184	349.2788927501774	11.058112410762618	272.9567384095077	0.6462063141165693	11.224631046991163	5.529056205381309	0.1608523872212284	True	5	0
6	1	353.7766212520963	3.7630374742738457	384.1595125914258	0.7035931912951204	4.1589150390992335	1.8815187371369229	418.73482656410545	7.006301319919194	90.29302131616095	0.1653728540807555	1.8200063776149904	3.503150659959597	349.34251383909924	10.880825291433919	401.4759149065717	0.7353084094982987	12.567568093775028	5.440412645716959	0.1273806598747986	True	5	0
7	1	351.6433535967828	8.98242858131252	566.0206596431607	0.9951861908900367	14.04164506473537	4.49121429065626	419.18704964588414	6.078227289514188	116.44962652119781	0.2047435164667996	1.9548208886309035	3.039113644757094	340.00000000000006	19.999999999999996	95.8106487198144	0.16845574966519258	5.292193456031302	9.999999999999998	0.11930585643375104	True	5	2
8	1	350.81011235977854	9.5638451349249	452.63655266205825	1.0423048319371735	15.658392071233564	4.78192256746245	418.30028215142073	5.502348579725289	110.48751932734908	0.2544241612533408	2.1990055651488687	2.7511742898626443	340.00000000000006	19.999999999999996	65.15491656217024	0.15003490981409198	4.713485704539584	9.999999999999998	0.16170214927955506	True	5	2
9	1	351.1487146016128	9.42044701061302	356.0807559535269	0.8458092383517328	12.515949797391505	4.71022350530651	418.5320810793926	6.227413430529133	69.88614577373932	0.16600264614114468	1.62383757613775	3.1137067152645663	340.0000000000068	19.999999999999996	56.41468201467979	0.13400347653979672	4.209843374529175	9.999999999999998	0.16122186302266986	True	5	2
10	1	351.47264313544645	9.60413642853221	339.48198626341804	0.8118102236998036	12.247084493612563	4.802068214266105	418.3360364012204	6.6388277246926135	59.37540351307429	0.1419856179668201	1.480660981609405	3.3194138623463068	340.0000000000017	19.999999999999996	52.82707238750068	0.12632645968739553	3.9686627770792886	9.999999999999998	0.1632733765502445	True	5	2
11	1	351.4712949529324	8.830241404872158	281.51021012546465	0.6789785944940527	9.417779903105943	4.415120702436079	419.21747243970486	6.580205805440345	48.54099573120436	0.11707673779301277	1.210124258067782	3.2901029027201725	342.4557720650018	19.695261558259194	47.685061689412045	0.1150122979546966	3.558163583593935	9.847630779129597	0.16220086505494907	True	5	0
12	1	353.67865066794076	1.880450100377327	266.56398792209535	0.653269148877018	1.929629097146395	0.9402250501886635	418.00000000000006	6.443134544860569	42.69682635536798	0.10463723787428032	1.0590180061785655	3.2215672724302844	349.062667358215	10.863637974223122	195.63014032107515	0.4794313600214832	8.181286467734045	5.431818987111561	0.1640875015941601	True	5	1
