# RamanPL_2D export
# schema_version: "0.3.8"
# export_kind: "mapping_fit"
# map_kind: "fit_params"
# spectrum_type: "Photoluminescence"
# x_quantity: "Photon energy"
# x_unit: "eV"
# coord_mode: "real"
# step_size: 1.7
# step_unit: "um"
# scaled: true
# peak_labels: ["Exciton", "Trion"]
# peak_profile: "pvoigt"
# params_per_peak: 4
# baseline_spec: {"method": "poly", "poly_order": 3}
# preprocessing_recipe: {"name": "legacy_mapping", "steps": [{"name": "crop", "data_range": [1.88, 2.05]}]}
# background_remove: false
# smoothing: false
# smooth_window: 11
# smooth_poly: 3
# 
x	y	Exciton_centre	Exciton_fwhm	Exciton_peak_height	Exciton_peak_height_norm	Exciton_amp	Exciton_scale	Exciton_eta	Trion_centre	Trion_fwhm	Trion_peak_height	Trion_peak_height_norm	Trion_amp	Trion_scale	Trion_eta
0.0	0.0	1.9782338433599769	0.030315607122829612	1.1444026081683778	0.07932793445880254	0.002568202880787817	0.030315607122829612	0.010000196325679538	1.9000000000000001	0.49999999999999994	3.8818221934286243	0.2690809461137857	0.14376238942561118	0.49999999999999994	0.01183620915334307
1.7	0.0	1.980388290126438	0.02659792574563024	2.8739596271322805	0.18609251639442798	0.005285912757675362	0.02659792574563024	0.010000000000057489	1.9000000000000001	0.49999999999999994	4.147736344755729	0.26857116796258096	0.1434048254311762	0.49999999999999994	0.010000000000000075
3.4	0.0	1.9745926237134284	0.03987283666716196	5.162832771867131	0.25410351514313534	0.01081990189649364	0.03987283666716196	0.010000000000000002	1.9000000000000001	0.37019447774085945	4.599060011151437	0.22635583347883093	0.08948618643166716	0.37019447774085945	0.010000000006445485
5.1	0.0	1.9762326632102365	0.038333031559602104	21.064487322290017	0.6701316833724676	0.037842609590252096	0.038333031559602104	0.8606529497682766	1.9000000000000001	0.19372485266541467	4.458456585669544	0.14183839232755577	0.029343608077027242	0.19372485266541467	0.010000000232661649
6.8	0.0	1.9770066186750117	0.035163479734019135	43.75923577597492	0.670761350813831	0.028628936854467896	0.035163479734019135	0.38161636725666215	1.950728261953672	0.09512823587270887	12.0799743471211	0.18516730850496332	0.027538039463101273	0.09512823587270887	0.9899999999999999
8.5	0.0	1.976428478506923	0.03590930301094527	79.15324698115981	0.7756691039765049	0.034965870583664335	0.03590930301094527	0.4716999155410738	1.9500521631446037	0.0809162526943096	17.12616428782541	0.1678293312573	0.021230661189523336	0.0809162526943096	0.9899999999987497
10.2	0.0	1.9762323729836089	0.0356093622580077	100.70629073750582	0.7618986317883361	0.03464147345870047	0.0356093622580077	0.5159899235617789	1.950712618336588	0.07307747418100652	23.938177371997902	0.18110551439900463	0.02069069664349414	0.07307747418100652	0.9899999999630495
11.9	0.0	1.9759513362350751	0.03583833824920799	116.39495864000179	0.8416281834910609	0.03919462196179381	0.03583833824920799	0.5609802452767017	1.94656522174495	0.06386069409794794	21.337741604866103	0.15428885337077874	0.01540381118022264	0.06386069409794794	0.9899999999996589
13.6	0.0	1.9755291114466818	0.03518249682001808	111.4975423638732	0.7982993455128762	0.036771577394088734	0.03518249682001808	0.5799970470992267	1.9482161530950564	0.06873574320779081	23.22544293490495	0.1662893683671792	0.017869310675582926	0.06873574320779081	0.9899999999998993
15.299999999999999	0.0	1.9755749924940305	0.03497339758963473	111.68856130198847	0.7794921573376705	0.034686356938111104	0.03497339758963473	0.5068876927383195	1.9482511890288718	0.06427249584695384	24.423163887491114	0.1704531286440073	0.017127369117654098	0.06427249584695384	0.9899999999999999
17.0	0.0	1.9755225553214122	0.03500949009670467	110.21300335181223	0.7695192595214146	0.034686515829998356	0.03500949009670467	0.5374476061565109	1.949429152577395	0.0635735855684588	23.30438816276389	0.16271379036251274	0.016171874621765153	0.0635735855684588	0.9899999999999999
18.7	0.0	1.9756864148722435	0.034340096885629695	100.8512997947245	0.7522255618364855	0.03253834590683318	0.034340096885629695	0.48066260767628577	1.9533783490851935	0.0671804816656495	27.804549832422662	0.20738744232227307	0.021781341978355715	0.0671804816656495	0.9899999999908143
20.4	0.0	1.9748027762025482	0.03675823881891622	99.99674338675878	0.7981613258409033	0.037185488624934225	0.03675823881891622	0.4967822763505004	1.9456346234839652	0.06916085791085172	18.737466715716327	0.14956008336063767	0.01617099315046543	0.06916085791085172	0.9899999999999999
22.099999999999998	0.0	1.9750809171405332	0.03529198853104406	91.12831253794837	0.7492582097482829	0.033007895966028794	0.03529198853104406	0.4568123509040391	1.95066671190776	0.06813688056852282	25.020862526022178	0.20572186777625745	0.021914080473678155	0.06813688056852282	0.989999999809562
23.8	0.0	1.974467826966128	0.03515947378013218	83.84725761478238	0.7485835527198517	0.03244726598707666	0.03515947378013218	0.4235776353740463	1.9506088572542957	0.07211986630921818	22.68181909845924	0.20250199238335184	0.022831961228201973	0.07211986630921818	0.989999999999907
25.5	0.0	1.974460546221566	0.034454105749206466	79.64728634397925	0.7238560298906428	0.031488304067653135	0.034454105749206466	0.48673139499600904	1.9511137133769005	0.06738952885870189	24.11253914947207	0.21914126218863883	0.023087436881181526	0.06738952885870189	0.9899999999999999
27.2	0.0	1.9736530403333998	0.03654594093215635	78.30595933501836	0.7849191292389415	0.03478286911222684	0.03654594093215635	0.37886162514651617	1.947088283991554	0.07471050254411157	19.181790429898243	0.19227341532289344	0.022457524991723148	0.07471050254411157	0.9899999995802045
28.9	0.0	1.9734191277478093	0.036145839592191996	80.25392471048649	0.7793221976169747	0.03654322692780794	0.036145839592191996	0.5567232087393331	1.9474226666131047	0.07276215091300553	19.557946441664072	0.1899214506552491	0.021604302562304948	0.07276215091300553	0.9899999999999999
30.599999999999998	0.0	1.9728733378507235	0.03599086200587101	73.45046405998747	0.7385803790349024	0.03354429122171954	0.03599086200587101	0.48540149039257446	1.9464518504196753	0.07466204109801364	17.701171859195398	0.1779939499149941	0.02077616477086004	0.07466204109801364	0.9899999999999999
32.3	0.0	1.972590484860657	0.035999381365846066	68.90536933991197	0.7394004730296112	0.032895465641625064	0.035999381365846066	0.43016661731294853	1.9463715395505017	0.07814878179230245	16.352292976177846	0.17547098691337099	0.021438115845888527	0.07814878179230245	0.9899999999999999
34.0	0.0	1.9726304251683626	0.036592344972748096	65.96862993759139	0.7567081121556847	0.035041573265651396	0.036592344972748096	0.4928115577529494	1.9460834770462991	0.08092091729591343	16.305780484068787	0.1870391484406687	0.023662091237212177	0.08092091729591343	0.9899999903138997
35.699999999999996	0.0	1.972336532094716	0.03663525678941787	69.39914653152042	0.7632458727764904	0.03610170264126534	0.03663525678941787	0.5445855314811304	1.9427985697793277	0.07575145205610341	13.953238887326798	0.15345652684330338	0.01817336941210697	0.07575145205610341	0.989999948017229
