# RamanPL_2D export
# schema_version: "0.3.8"
# export_kind: "mapping_fit"
# map_kind: "fit_params"
# spectrum_type: "Raman"
# x_quantity: "Raman shift"
# x_unit: "cm^-1"
# coord_mode: "real"
# step_size: 0.5
# step_unit: "um"
# scaled: true
# peak_labels: ["WS2_E12g", "WS2_A1g", "WS2_2LA(M)", "MoS2_E12g", "MoS2_A1g"]
# peak_profile: "pvoigt"
# params_per_peak: 4
# baseline_spec: {"method": "arpls", "lam": 10000.0, "niter": 250, "tol": 1e-06}
# preprocessing_recipe: {"name": "legacy_mapping", "backend": "native", "steps": [{"name": "crop", "data_range": [300, 450]}, {"name": "baseline", "baseline_spec": {"method": "arpls", "lam": 10000.0, "niter": 250, "tol": 1e-06}, "clip_nonnegative": true}]}
# background_remove: true
# smoothing: false
# smooth_window: 11
# smooth_poly: 3
# preprocessing_backend_requested: "native"
# preprocessing_backend_resolved: "native"
# export_format: "wide"
# 
x	y	WS2_E12g_centre	WS2_E12g_fwhm	WS2_E12g_peak_height	WS2_E12g_peak_height_norm	WS2_E12g_amp	WS2_E12g_scale	WS2_E12g_eta	WS2_A1g_centre	WS2_A1g_fwhm	WS2_A1g_peak_height	WS2_A1g_peak_height_norm	WS2_A1g_amp	WS2_A1g_scale	WS2_A1g_eta	WS2_2LA(M)_centre	WS2_2LA(M)_fwhm	WS2_2LA(M)_peak_height	WS2_2LA(M)_peak_height_norm	WS2_2LA(M)_amp	WS2_2LA(M)_scale	WS2_2LA(M)_eta	MoS2_E12g_centre	MoS2_E12g_fwhm	MoS2_E12g_peak_height	MoS2_E12g_peak_height_norm	MoS2_E12g_amp	MoS2_E12g_scale	MoS2_E12g_eta	MoS2_A1g_centre	MoS2_A1g_fwhm	MoS2_A1g_peak_height	MoS2_A1g_peak_height_norm	MoS2_A1g_amp	MoS2_A1g_scale	MoS2_A1g_eta	rmse	ok	n_starts	n_params_at_bounds
0.0	0.0	355.99999999999994	5.491881029316361	4.080163881858264	0.7003244270384236	6.555227491732329	5.491881029316361	0.9999999999999926	421.99999999999994	9.999999999999998	2.622330117090214	0.4501000180219235	7.070241934409043	9.999999999999998	0.9999999999999999	346.4183366950257	0.765878373789475	2.229711080175352	0.3827103959299426	0.3135996155532575	0.765878373789475	2.262366053459496e-08	389.61909204160025	8.060114432069092	2.2836085545263805	0.39196142577497695	5.034826053574852	8.060114432069092	0.9999999999999883	404.3942093903551	0.3935000472866097	1.1826081537531574	0.20298434123458525	0.1947865361377473	0.3935000472866097	6.380604799707313e-11	0.26958887840226015	True	5	6
0.5	0.0	355.99999999999994	9.999999999999998	7.416084300235693	0.6356494331088833	7.8708465901351605	9.999999999999998	0.38149848667778774	421.99999999999994	4.818078611323398	6.3213460880797445	0.5418169339371243	4.100808181024931	4.818078611323398	0.9999999999996646	340.0000002116681	9.999999999994579	1.2321682381921988	0.10561193891454965	1.6840658044451562	9.999999999994579	0.9999999999999999	384.2036003652543	2.1188873589016106	6.011582270667359	0.5152663734304741	1.649605558313099	2.1188873589016106	0.900466448559285	409.91157947865946	0.9966440933165827	3.5350360813522297	0.3029959733682611	0.633004240913772	0.9966440933165827	5.494830817612104e-06	0.1405417606976857	True	5	7
1.0	0.0	353.5108817870945	9.999999999999998	19.688992171530824	1.0585727812686867	11.747451723250052	9.999999999999998	1.404574739722108e-29	418.32628561103274	4.506898509253397	8.526512740501335	0.4584254098737662	3.617996260742368	4.506898509253397	0.9999999999999999	340.00000000000006	9.999999999999998	3.432767756153507	0.18456173273994225	2.942982671285892	9.999999999999998	0.9999999999999999	389.99933349349936	0.9104094856078918	6.00447076632007	0.32282857668766934	0.3248672549176013	0.9104094856078918	9.965943957488297e-13	395.00000000000057	19.999999999999996	1.0888732188097383	0.058542943267105435	1.8544162917392049	19.999999999999996	0.9999999999999999	0.0949185647201379	True	5	10
1.5	0.0	353.3016823342753	9.999999999999998	44.3578035882466	1.0323657647814415	11.308585356808821	9.999999999999998	5.0269466887350935e-36	420.7839725090178	4.50156907044799	11.389672683884019	0.2650786828864492	2.405794636590615	4.50156907044799	0.9999999999999999	343.02972514775246	9.999999999999998	9.062904600226052	0.21092641388656844	3.3468191410575874	9.999999999999998	0.9999999999999999	381.40484786724284	0.8998018159043817	6.351866768269079	0.14783080458364817	0.1416667443531347	0.8998018159043817	8.154925693249088e-09	409.99999999999994	3.3507874515762373	4.05423682558195	0.09435668501305157	0.5255579541519271	3.3507874515762373	0.9999999999999999	0.040997657246001344	True	5	7
2.0	0.0	352.4560039816602	9.054640145185985	65.70287060866374	0.9140396229440668	8.818548749899055	9.054640145185985	3.440820539880556e-37	420.18763742197166	9.959999779797485	12.09563667215972	0.16827105240104137	2.6788023590959655	9.959999779797485	0.9384880692388018	344.9532005608433	9.999999999999998	24.461684708970576	0.3403039906907173	5.776626272064355	9.999999999999998	0.9999999999999999	384.26371502032094	0.5672305472795002	2.145612791561633	0.02984915406001083	0.018194450655490083	0.5672305472795002	8.126215934715648e-08	409.9999813631153	19.999999999260748	6.197005662324762e-32	8.621097779290427e-34	2.712825190425114e-32	19.999999999260748	0.9999999998605593	0.030546646861505784	True	5	7
2.5	0.0	351.92669108526684	9.999999999999998	94.86516941388956	0.9632074632477299	11.836363808724858	9.999999999999998	0.40407550266137776	419.10642532230804	9.810570240602821	21.87307196980927	0.22208684489410002	2.3192776120591807	9.810570240602821	8.619420951594305e-35	343.3021835857895	9.999999999999998	20.633132482007902	0.2094971981775573	3.297799442292969	9.999999999999998	0.9999999999999999	375.5781571874901	0.016002341901355018	0.8102893764094908	0.008227221640672031	0.0001669154138230288	0.016002341901355018	0.4975774901907711	404.55453768523785	1.1620852263605042	2.5194940513842106	0.025581522585108197	0.03184056820477596	1.1620852263605042	2.0774965421071748e-05	0.031669864899756345	True	5	4
3.0	0.0	351.8707748291709	9.999999999999998	135.3345039151322	1.0073327527533666	11.44699542096088	9.999999999999998	0.18162587264810345	418.71286026727216	7.1133691538844515	20.20142575247234	0.15036489013579163	1.3426988377247013	7.1133691538844515	0.44792965833572906	342.4104287023572	9.999999999999998	37.99921265817301	0.282838820715092	4.666850634820002	9.999999999999998	0.9999999999999999	389.99999999999557	19.999999995891454	5.8307073817094635e-12	4.339959394981783e-14	1.3635901191502966e-12	19.999999995891454	0.999999999991998	409.99999999994805	19.999999999935657	1.064109011899886e-15	7.920462477617455e-18	2.4696999791504773e-16	19.999999999935657	0.980745812150033	0.04356960585362195	True	5	9
3.5	0.0	352.2209526982552	8.784900582524285	130.573846960969	0.8177228884518221	7.647852977867771	8.784900582524285	1.4033115419473835e-43	418.54426799690197	4.269182432015882	39.49818034071884	0.24735861635797737	1.7671516885881637	4.269182432015882	0.9999999999999999	345.62402854368804	9.999999999999998	79.32657135914418	0.49678518763538443	8.017038630824647	9.999999999999998	0.9999999999999999	389.5132644621487	0.7476866924986815	0.36600837432409555	0.0022921391382404437	0.010386922299010254	0.7476866924986815	3.128687966810884e-39	407.2303920321474	4.245936247656418	5.348203000487811	0.033493292166637864	0.15888704088989433	4.245936247656418	0.11024086764976643	0.040937283556951226	True	5	5
4.0	0.0	352.2338353418044	7.611820999935157	94.77731094864895	0.7002789097737124	5.674747745398451	7.611820999935157	6.0534273726143375e-19	418.42251178413346	9.0620740157411	24.1730554475652	0.17860689172635538	1.7489919301850048	9.0620740157411	1.5888418086737734e-15	346.4673139060945	9.81806899234291	93.6173953500431	0.6917086684080197	10.667775576256176	9.81806899234291	0.9999999999999022	381.40209579535474	0.003433548010788837	0.6002743840653455	0.004435233359449508	0.007941330231823253	0.003433548010788837	0.09559306799983135	409.96493487942973	19.89999999999999	2.085046131195808e-23	1.5405731782924268e-25	3.542324136767688e-24	19.89999999999999	0.2401295425618412	0.028887243146990964	True	5	4
4.5	0.0	352.89314421485426	7.384005317089393	87.42163432920218	0.7582841682986375	6.073229418306121	7.384005317089393	9.311884170716205e-38	417.91399692043353	9.999999999999998	16.80862686900056	0.14579589758761421	1.6125970717386775	9.999999999999998	1.0482043252231861e-32	346.4734060851501	8.653289993963575	78.66946063897727	0.6823689237665352	9.275382843457141	8.653289993963575	0.9999999999999999	387.2021983039997	1.119890826455189	3.8095512660236586	0.033043564507954155	0.03939089084767885	1.119890826455189	2.9177381272240283e-08	409.96803919585403	19.99661433446543	1.5034722427868381e-19	1.3040927545332807e-21	4.103365722820274e-20	19.99661433446543	0.9996585895036108	0.024855032089789213	True	5	5
5.0	0.0	351.22854176342196	9.999999999999998	100.60870291205399	0.9335896454059531	11.103094606094418	9.999999999999998	0.23213808649992315	417.5523116372894	5.009979412087894	19.45554191612049	0.1805359969159826	1.8376900022407756	5.009979412087894	0.9999999999999999	340.872478112643	9.999999999999998	27.827191913314802	0.2582199897130608	4.066846529942246	9.999999999999998	0.9999999999999999	388.54826988216604	18.393250427926464	3.2907550131515376e-35	3.0536272876229703e-37	8.524098470765982e-36	18.393250427926464	0.8820385085097449	407.49831117720277	0.0013711058422394803	0.6047139501476633	0.005611390127789338	0.7992228755623442	0.0013711058422394803	0.002919676357913062	0.02447800999655947	True	5	5
5.5	0.0	351.2885778017692	9.999999999999998	83.6259760481174	0.9283201977405221	10.157549593328996	9.999999999999998	2.0130681708072393e-31	419.1487081100616	4.8072791639462125	18.597874203416637	0.20645238565747964	1.3386277859281221	4.8072791639462125	0.6526734755712776	341.90260083225064	9.999999999999998	25.364050424137307	0.28156275619058424	4.70089544957663	9.999999999999998	0.9936206780444913	388.86523917904304	0.3342098840656259	1.0266514739245489e-25	1.1396713608889365e-27	3.602395678776349e-26	0.3342098840656259	0.9314648561920494	395.9164381108943	0.7592427326352527	3.206214811615995	0.03559173965521633	0.028770307428580562	0.7592427326352527	2.0697674604514e-08	0.019578907741163176	True	5	4
6.0	0.0	353.76167344471713	6.3286794267586375	39.386629450657935	0.5175364665615896	4.022667720575036	6.3286794267586375	3.704203456901084e-21	417.6164315984383	7.084190479647754	13.03731866525293	0.1713090947247772	1.6985451409681522	7.084190479647754	0.43086184953031903	347.79695972575934	9.664200823027176	64.81247618523061	0.851629610907239	13.533477642835443	9.664200823027176	0.9420574448314315	370.0006651189239	2.2156286968088787e-08	6.441745018447937e-25	8.464390078147641e-27	2.245857590793278e-14	2.2156286968088787e-08	6.202519199749457e-06	409.9999999999898	5.53139208354598	5.8662462192352685	0.07708190273266934	0.46062966562141816	5.53139208354598	1.1913558131824447e-10	0.037786905258253206	True	5	3
6.5	0.0	350.3354795191149	9.999999999999982	50.31459633410657	0.9973820068732006	11.495893166078023	9.999999999999982	0.15851319532366698	417.00000000000006	8.403861304732526	6.901030984432756	0.13679855616931486	1.8297205427858347	8.403861304732526	0.9528962288349107	340.00003742319325	9.999999999940936	16.224888821533145	0.32162460504817314	5.1285491735912245	9.999999999940936	0.9999999999995869	389.9999999999967	10.99770717223862	1.1981938774459233	0.023751696350192274	0.2781248400812214	10.99770717223862	2.9962437596524547e-07	409.9240268718629	19.974925573163283	3.3424797656359507e-13	6.625769497276532e-15	1.4574978428851594e-13	19.974925573163283	0.09866768249830382	0.06688287198216837	True	5	7
7.0	0.0	349.62798851464566	9.999999999999998	38.38228976975098	1.0528286363446187	12.128936195062835	9.999999999999998	0.23008205030474266	417.00000000000006	7.166681439121884	4.42864324004621	0.1214779642185197	1.3072922869467953	7.166681439121884	0.801086228963091	341.3729397355648	2.7119091981829495	8.182566188783245	0.22444830816543906	1.2546709322800704	2.7119091981829495	0.9999999999958832	385.7748158730183	1.903746136851829	2.53268173720065	0.06947162026204409	0.6675560882399403	1.903746136851829	2.906098867637126e-10	409.99999877320295	12.892171655340038	1.8509950345366066	0.05077291088630326	0.6986764251329808	12.892171655340038	1.1030749055036784e-05	0.03687397119418726	True	5	4
7.5	0.0	350.44634119946824	3.537580381442763	19.218274041362452	0.8837362472321308	5.763872158339337	3.537580381442763	0.7023593768490217	417.00000000000006	5.783856153370159	7.130138079513135	0.3278734320821007	2.129918950367406	5.783856153370159	3.0574130688218265e-37	344.5587017546276	3.809182543616422	14.167996717975328	0.6515034712999138	5.028385539160096	3.809182543616422	0.9999999999999999	381.3964199188545	0.8028197857416669	3.4225219133006566	0.15738180573449817	0.13451785736934002	0.8028197857416669	0.00033974008813989474	409.99999999999994	19.999999999999996	2.075988611819994	0.09546259883472756	3.003948111428641	19.999999999999996	0.9999999999999999	0.07811920074426475	True	5	6
8.0	0.0	351.7336805843841	3.128619638278943	12.8600615042075	0.9711947674948959	5.366042614888864	3.128619638278943	0.9999999999999978	417.00000000000006	1.729506407544553	3.3337652486866083	0.25176670924329914	1.2282915000180463	1.729506407544553	0.9235925807214946	345.3332131404167	3.263182885760405	8.234204600194184	0.6218490027885607	3.9206985272409622	3.263182885760405	0.6561193143660314	384.2358851090114	1.050151163796082	4.655787198867217	0.3516061073759388	0.39675033612200067	1.050151163796082	0.00010913721969218294	395.00000000000006	5.998368709857881	2.931059527127087	0.22135428162847764	1.913099410523803	5.998368709857881	0.6276809443476962	0.12025789573196152	True	5	3
