# RamanPL_2D export
# map_kind: integration
# spectrum_type: Raman
# x_unit: cm^-1
# coord_mode: real
# step_size: 0.5
# step_unit: um
# integration_range: (340, 430)
# background_remove: True
# baseline_method: poly
# 
x	y	integration_area
0.0	0.0	129.29189695680833
0.5	0.0	115.68580804132338
1.0	0.0	114.01769697427252
1.5	0.0	129.59166513640463
2.0	0.0	96.22636966126133
2.5	0.0	125.16703720686645
3.0	0.0	113.31184922251701
3.5	0.0	117.38990802461221
4.0	0.0	105.07491593523298
4.5	0.0	92.76998820104423
5.0	0.0	115.88043380907366
5.5	0.0	157.33509768907768
6.0	0.0	120.91530975827416
6.5	0.0	105.02406091393546
7.0	0.0	136.68540461794296
7.5	0.0	892.192321601058
8.0	0.0	2078.3466295703447
8.5	0.0	258.3938513355059
9.0	0.0	127.00813342860808
9.5	0.0	112.05324135813696
10.0	0.0	122.3536906756239
0.0	0.5	116.20679752272414
0.5	0.5	135.08095004056747
1.0	0.5	94.42133033782589
1.5	0.5	122.83718713296953
2.0	0.5	114.89270753060485
2.5	0.5	114.67400345706918
3.0	0.5	121.29250054363929
3.5	0.5	107.55950448066507
4.0	0.5	118.4540978490143
4.5	0.5	116.6124375844572
5.0	0.5	132.0596126207763
5.5	0.5	92.20269736988206
6.0	0.5	125.41717580729991
6.5	0.5	344.0149894981496
7.0	0.5	1546.2924047434583
7.5	0.5	1785.0171155656424
8.0	0.5	783.6023536128489
8.5	0.5	196.72172382119638
9.0	0.5	120.45478902897959
9.5	0.5	118.26206109337325
10.0	0.5	103.82236492475501
0.0	1.0	102.29784478585887
0.5	1.0	115.68448961438799
1.0	1.0	108.67522504931752
1.5	1.0	114.93730988809165
2.0	1.0	97.73836871686129
2.5	1.0	119.97931826103996
3.0	1.0	94.63573552316377
3.5	1.0	138.07534781937278
4.0	1.0	132.65547840438992
4.5	1.0	107.12532210739462
5.0	1.0	113.29366620010951
5.5	1.0	168.1771764929346
6.0	1.0	1086.0868278572846
6.5	1.0	1256.9199630217972
7.0	1.0	521.1803932038373
7.5	1.0	219.75513173390402
8.0	1.0	140.2691759233629
8.5	1.0	133.43605186940974
9.0	1.0	106.62130904175882
9.5	1.0	134.02980475690194
10.0	1.0	130.55212778261352
0.0	1.5	122.64908323529669
0.5	1.5	121.1449252089035
1.0	1.5	112.26126436797749
1.5	1.5	96.26933734273773
2.0	1.5	122.53959671726786
2.5	1.5	128.39657828384819
3.0	1.5	119.29816776040869
3.5	1.5	123.69258798449128
4.0	1.5	97.44692989730804
4.5	1.5	139.23268323867438
5.0	1.5	403.26408904254527
5.5	1.5	1010.0382260098753
6.0	1.5	536.3293018951842
6.5	1.5	235.44568141969694
7.0	1.5	132.21736673530378
7.5	1.5	132.5165991744611
8.0	1.5	123.84451146588479
8.5	1.5	107.8704820983428
9.0	1.5	105.15577872558521
9.5	1.5	159.91521875585053
10.0	1.5	107.96796905032527
0.0	2.0	91.44441059059386
0.5	2.0	101.14531862837366
1.0	2.0	110.38401533431625
1.5	2.0	109.85495406592915
2.0	2.0	122.1033932129528
2.5	2.0	119.48388405981053
3.0	2.0	92.97929080424841
3.5	2.0	129.25337098801376
4.0	2.0	431.84242069669676
4.5	2.0	714.4972985132076
5.0	2.0	409.6786944769734
5.5	2.0	189.7496331816461
6.0	2.0	145.13874776089008
6.5	2.0	130.46286910989076
7.0	2.0	131.76999610373414
7.5	2.0	135.777434468737
8.0	2.0	100.60764083158155
8.5	2.0	116.63055201131075
9.0	2.0	109.6030654257861
9.5	2.0	119.3668529327914
10.0	2.0	127.47217100068254
0.0	2.5	105.55290814396837
0.5	2.5	117.09367141590934
1.0	2.5	88.93475881785176
1.5	2.5	90.88929315112276
2.0	2.5	118.59913937912033
2.5	2.5	155.10917741227473
3.0	2.5	616.3192261432966
3.5	2.5	1554.8487741199656
4.0	2.5	775.4497633875146
4.5	2.5	222.55100452156367
5.0	2.5	130.94385945653727
5.5	2.5	158.785034000359
6.0	2.5	118.97253052298817
6.5	2.5	137.25784987196695
7.0	2.5	139.71073473426983
7.5	2.5	140.58753510925428
8.0	2.5	86.30813622424395
8.5	2.5	143.32092863782188
9.0	2.5	117.70622624292075
9.5	2.5	131.7092336130942
10.0	2.5	121.17968245157354
0.0	3.0	110.27103810216875
0.5	3.0	108.45421933986911
1.0	3.0	124.21068135666997
1.5	3.0	93.01016013248709
2.0	3.0	438.7637294970687
2.5	3.0	1791.0131077625217
3.0	3.0	1436.530802266251
3.5	3.0	445.00337958021964
4.0	3.0	139.71471865250746
4.5	3.0	189.42840741755498
5.0	3.0	114.71290651731839
5.5	3.0	123.83188978616705
6.0	3.0	139.36808285018273
6.5	3.0	116.17742265965892
7.0	3.0	135.6372044497633
7.5	3.0	115.59528725406119
8.0	3.0	105.10743615159421
8.5	3.0	135.9105092517647
9.0	3.0	157.59497017828022
9.5	3.0	121.97269370979417
10.0	3.0	102.98063379041523
0.0	3.5	102.43206643421995
0.5	3.5	110.77964632848717
1.0	3.5	191.9077747586127
1.5	3.5	1652.7911037340564
2.0	3.5	1463.4608803842004
2.5	3.5	656.2491427658853
3.0	3.5	234.2200351307416
3.5	3.5	149.7135779657835
4.0	3.5	119.56703830457623
4.5	3.5	127.08124464202893
5.0	3.5	115.32040904977461
5.5	3.5	100.76915427560445
6.0	3.5	125.90626771954742
6.5	3.5	116.32177323837227
7.0	3.5	112.01510294327595
7.5	3.5	123.59581789325043
8.0	3.5	118.13674908667322
8.5	3.5	85.8623865169566
9.0	3.5	131.77893656369207
9.5	3.5	133.8222944137296
10.0	3.5	94.52423430251376
0.0	4.0	105.77222818791972
0.5	4.0	134.9739908940578
1.0	4.0	166.6060903546387
1.5	4.0	701.9851289130571
2.0	4.0	227.31213697236223
2.5	4.0	127.90040167296982
3.0	4.0	121.24562843731897
3.5	4.0	116.50008516859825
4.0	4.0	142.3639319043305
4.5	4.0	130.996627977247
5.0	4.0	145.85231072635145
5.5	4.0	142.58319961186965
6.0	4.0	115.00545328668665
6.5	4.0	129.37347832393385
7.0	4.0	130.07641947421806
7.5	4.0	117.49567432356423
8.0	4.0	119.40729061231222
8.5	4.0	131.52225487228804
9.0	4.0	207.09046316547742
9.5	4.0	302.5702669079484
10.0	4.0	137.7373153451116
0.0	4.5	117.95209583057813
0.5	4.5	111.28141607347952
1.0	4.5	108.85712394692315
1.5	4.5	103.59895973922895
2.0	4.5	109.08277306161771
2.5	4.5	120.35159962100198
3.0	4.5	111.00975628143131
3.5	4.5	138.67519445543007
4.0	4.5	143.7092966488577
4.5	4.5	97.4863829622081
5.0	4.5	127.86760231627657
5.5	4.5	85.82021761594076
6.0	4.5	121.86200823390001
6.5	4.5	128.9118252181204
7.0	4.5	122.17093683167015
7.5	4.5	131.40095170565024
8.0	4.5	121.97833964680592
8.5	4.5	133.91987026280475
9.0	4.5	170.29555814877742
9.5	4.5	195.04004675653485
10.0	4.5	143.5172822622685
0.0	5.0	112.68906889821125
0.5	5.0	112.56420794413411
1.0	5.0	110.93420961318283
1.5	5.0	142.36566597638102
2.0	5.0	112.59558390161746
2.5	5.0	128.99585966286892
3.0	5.0	110.51035696822801
3.5	5.0	92.373749869087
4.0	5.0	149.73891365368436
4.5	5.0	130.0268338478678
5.0	5.0	107.73306384824627
5.5	5.0	125.53693553204106
6.0	5.0	129.49413256300187
6.5	5.0	103.21890859422702
7.0	5.0	175.5877418712521
7.5	5.0	138.21889051686867
8.0	5.0	113.80917828103622
8.5	5.0	121.2574301735508
9.0	5.0	119.20555683867335
9.5	5.0	105.70836661535745
10.0	5.0	109.45401702203988
0.0	5.5	147.51933317197853
0.5	5.5	106.693839302059
1.0	5.5	132.94163321298262
1.5	5.5	139.4069440460701
2.0	5.5	120.27663072021362
2.5	5.5	149.1214742184012
3.0	5.5	135.934289165624
