Peak,Centre,FWHM,Scale,Amp,PeakHeight_norm,PeakHeight
E12g,383.58119127055096,5.999999999999999,2.9999999999999996,2.093779268799939,0.22215688024856303,95.05712298892053
A1g,406.31120539902577,5.999999999999999,2.9999999999999996,3.0650139645060785,0.32520808206455304,139.15096673671954
Si,521.0648064787712,3.9999999999999996,1.9999999999999998,7.986970927381404,1.2711659034240101,543.9101120158982
