#Wave		#Intensity
1.807364	22.708300
1.807501	24.979130
1.807637	20.433805
1.807774	24.970173
1.807910	36.313732
1.808047	13.615206
1.808184	27.225519
1.808320	27.220627
1.808457	31.751690
1.808594	29.478409
1.808730	24.938782
1.808867	34.001308
1.809004	43.060566
1.809141	20.393435
1.809277	11.327643
1.809414	43.037281
1.809551	24.911825
1.809688	27.171633
1.809825	33.958405
1.809962	27.161818
1.810099	38.472286
1.810236	31.677330
1.810373	18.098057
1.810510	27.142172
1.810647	9.045753
1.810784	38.437485
1.810921	6.781856
1.811058	36.163342
1.811195	31.637184
1.811333	15.815722
1.811470	18.071829
1.811607	22.585684
1.811744	20.323421
1.811882	36.123959
1.812019	27.088043
1.812156	18.055410
1.812294	20.308640
1.812431	24.817150
1.812568	20.301243
1.812706	20.297543
1.812843	36.077942
1.812981	24.799063
1.813118	22.540487
1.813256	27.043648
1.813393	24.785484
1.813531	6.758442
1.813669	24.776426
1.813806	18.015924
1.813944	31.522102
1.814082	31.516333
1.814219	20.256790
1.814357	13.502054
1.814495	8.999721
1.814633	22.495176
1.814770	24.740158
1.814908	11.243464
1.815046	6.744840
1.815184	11.239336
1.815322	2.247454
1.815460	13.482249
1.815598	24.712914
1.815736	20.215939
1.815874	15.720615
1.816012	24.699278
1.816150	17.959805
1.816288	11.222811
1.816426	35.906380
1.816564	22.437349
1.816703	24.676535
1.816841	26.914890
1.816979	8.969975
1.817117	17.936638
1.817255	31.383320
1.817394	42.583782
1.817532	24.649212
1.817670	26.885078
1.817809	26.880106
1.817947	17.916756
1.818086	20.152618
1.818224	13.432592
1.818363	15.668455
1.818501	17.903488
1.818640	22.375212
1.818778	26.845274
1.818917	17.893530
1.819055	13.417657
1.819194	17.886889
1.819333	20.119013
1.819471	17.880245
1.819610	22.346153
1.819749	13.405199
1.819888	22.337845
1.820026	11.166844
1.820165	4.465907
1.820304	26.790451
1.820443	37.946068
1.820582	33.475590
1.820721	29.006769
1.820860	17.846992
1.820999	26.765495
1.821138	33.450626
1.821277	26.755507
1.821416	15.604465
1.821555	22.287930
1.821694	17.827013
1.821833	37.875324
1.821972	20.047892
1.822111	28.952652
1.822250	20.040394
1.822390	17.810349
1.822529	8.903507
1.822668	20.029140
1.822808	31.150602
1.822947	11.123131
1.823086	8.896836
1.823226	6.671376
1.823365	22.233747
1.823504	22.229574
1.823644	24.447943
1.823783	13.332737
1.823923	19.995348
1.824062	39.983185
1.824202	22.208704
1.824342	13.322717
1.824481	0.000000
1.824621	4.439235
1.824761	17.753597
1.824900	6.656345
1.825040	13.310184
1.825180	17.743568
1.825320	24.392809
1.825459	2.217110
1.825599	19.950226
1.825739	13.297642
1.825879	13.295133
1.826019	15.508060
1.826159	6.645057
1.826299	19.931404
1.826439	24.356003
1.826579	8.855054
1.826719	19.920105
1.826859	17.703411
1.826999	17.700062
1.827139	13.272534
1.827279	22.116703
1.827419	-2.211251
1.827559	6.632498
1.827700	22.104137
1.827840	26.519938
1.827980	41.981941
1.828121	28.719038
1.828261	17.669901
1.828401	24.291504
1.828542	15.455296
1.828682	28.697243
1.828823	8.828243
1.828963	13.239849
1.829103	8.824889
1.829244	6.617408
1.829385	26.464600
1.829525	15.434747
1.829666	26.454531
1.829806	0.000000
1.829947	0.000000
1.830088	19.829569
1.830228	6.608597
1.830369	6.607337
1.830510	19.818233
1.830651	2.201606
1.830792	15.408304
1.830932	19.806898
1.831073	33.005196
1.831214	15.399485
1.831355	26.394075
1.831496	4.398172
1.831637	17.589329
1.831778	15.387722
1.831919	21.978258
1.832060	24.171461
1.832201	28.560808
1.832342	17.572519
1.832483	17.569157
1.832625	17.565794
1.832766	15.367126
1.832907	4.389767
1.833048	8.777851
1.833189	19.746380
1.833331	30.710703
1.833472	13.159206
1.833614	21.927803
1.833755	15.346519
1.833896	28.495207
1.834038	8.766073
1.834179	26.293171
1.834321	39.432182
1.834462	21.902559
1.834604	10.949175
1.834745	26.272968
1.834887	28.456911
1.835029	30.640011
1.835170	6.564454
1.835312	17.501842
1.835454	21.873091
1.835595	10.934441
1.835737	15.305268
1.835879	6.558137
1.836021	15.299373
1.836163	32.778053
1.836304	4.369565
1.836446	-2.184361
1.836588	4.367879
1.836730	26.202221
1.836872	19.647873
1.837014	8.730703
1.837156	10.911272
